task_id,scene,scale,actual_loc,syntax_ok,assertions_total,assertions_passed,assertions_failed,assertion_pass_rate,safety_total,safety_verified,safety_pass_rate,defect_rate,defect_density,verification_improvement,complexity
TL-S,traffic_light,small,32,True,4,3,1,0.75,2,1,0.5,0.33333333333333337,8.333333333333332,0,10
TL-S,traffic_light,small,32,True,4,3,1,0.75,2,1,0.5,0.33333333333333337,8.333333333333332,0,10
TL-S,traffic_light,small,32,True,4,3,1,0.75,2,1,0.5,0.33333333333333337,8.333333333333332,0,10
TL-S,traffic_light,small,32,True,4,3,1,0.75,2,1,0.5,0.33333333333333337,8.333333333333332,0,10
TL-M,traffic_light,medium,40,True,4,2,2,0.5,3,2,0.6666666666666666,0.4285714285714286,7.142857142857142,0.3333333333333333,13
TL-M,traffic_light,medium,40,True,4,2,2,0.5,3,2,0.6666666666666666,0.4285714285714286,7.142857142857142,0.3333333333333333,13
TL-M,traffic_light,medium,40,True,4,2,2,0.5,3,2,0.6666666666666666,0.4285714285714286,7.142857142857142,0.3333333333333333,13
TL-M,traffic_light,medium,40,True,4,2,2,0.5,3,2,0.6666666666666666,0.4285714285714286,7.142857142857142,0.3333333333333333,13
TL-L,traffic_light,large,126,True,5,2,3,0.4,4,3,0.75,0.4444444444444444,10.30174401428942,0.25,17
TL-L,traffic_light,large,126,True,5,2,3,0.4,4,3,0.75,0.4444444444444444,10.30174401428942,0.25,17
TL-L,traffic_light,large,126,True,5,2,3,0.4,4,3,0.75,0.4444444444444444,10.30174401428942,0.25,17
TL-XL,traffic_light,xlarge,135,True,6,4,2,0.6666666666666666,4,3,0.75,0.30000000000000004,11.72608958293471,0.25,18
TL-XL,traffic_light,xlarge,135,True,6,4,2,0.6666666666666666,4,3,0.75,0.30000000000000004,11.72608958293471,0.25,18
CV-S,conveyor,small,14,True,5,2,3,0.4,2,1,0.5,0.5714285714285714,7.142857142857142,0,11
CV-S,conveyor,small,14,True,5,2,3,0.4,2,1,0.5,0.5714285714285714,7.142857142857142,0,11
CV-S,conveyor,small,14,True,5,2,3,0.4,2,1,0.5,0.5714285714285714,7.142857142857142,0,11
CV-S,conveyor,small,14,True,5,2,3,0.4,2,1,0.5,0.5714285714285714,7.142857142857142,0,11
CV-M,conveyor,medium,44,True,5,3,2,0.6,3,2,0.6666666666666666,0.375,6.25,0.3333333333333333,14
CV-M,conveyor,medium,44,True,5,3,2,0.6,3,2,0.6666666666666666,0.375,6.25,0.3333333333333333,14
CV-M,conveyor,medium,44,True,5,3,2,0.6,3,2,0.6666666666666666,0.375,6.25,0.3333333333333333,14
CV-M,conveyor,medium,44,True,5,3,2,0.6,3,2,0.6666666666666666,0.375,6.25,0.3333333333333333,14
CV-L,conveyor,large,80,True,6,3,3,0.5,4,3,0.75,0.4,5.211936582746344,0.25,18
CV-L,conveyor,large,80,True,6,3,3,0.5,4,3,0.75,0.4,5.211936582746344,0.25,18
CV-L,conveyor,large,80,True,6,3,3,0.5,4,3,0.75,0.4,5.211936582746344,0.25,18
CV-XL,conveyor,xlarge,151,True,7,4,3,0.5714285714285714,5,4,0.8,0.33333333333333337,11.00474822516963,0.2,22
CV-XL,conveyor,xlarge,151,True,7,4,3,0.5714285714285714,5,4,0.8,0.33333333333333337,11.00474822516963,0.2,22
RB-S,robot_mutex,small,22,True,4,1,3,0.25,2,1,0.5,0.6666666666666667,8.333333333333332,0,10
RB-S,robot_mutex,small,22,True,4,1,3,0.25,2,1,0.5,0.6666666666666667,8.333333333333332,0,10
RB-S,robot_mutex,small,22,True,4,1,3,0.25,2,1,0.5,0.6666666666666667,8.333333333333332,0,10
RB-S,robot_mutex,small,22,True,4,1,3,0.25,2,1,0.5,0.6666666666666667,8.333333333333332,0,10
RB-M,robot_mutex,medium,98,True,5,3,2,0.6,3,2,0.6666666666666666,0.375,6.97150865716697,0.3333333333333333,14
RB-M,robot_mutex,medium,98,True,5,3,2,0.6,3,2,0.6666666666666666,0.375,6.97150865716697,0.3333333333333333,14
RB-M,robot_mutex,medium,98,True,5,3,2,0.6,3,2,0.6666666666666666,0.375,6.97150865716697,0.3333333333333333,14
RB-M,robot_mutex,medium,98,True,5,3,2,0.6,3,2,0.6666666666666666,0.375,6.97150865716697,0.3333333333333333,14
RB-L,robot_mutex,large,141,False,6,1,5,0.16666666666666666,5,3,0.6,0.6363636363636364,10.019853740983459,0.4,21
RB-L,robot_mutex,large,141,False,6,1,5,0.16666666666666666,5,3,0.6,0.6363636363636364,10.019853740983459,0.4,21
RB-L,robot_mutex,large,141,False,6,1,5,0.16666666666666666,5,3,0.6,0.6363636363636364,10.019853740983459,0.4,21
RB-XL,robot_mutex,xlarge,208,True,6,3,3,0.5,6,4,0.6666666666666666,0.41666666666666663,18.22895289898305,0.16666666666666669,24
RB-XL,robot_mutex,xlarge,208,True,6,3,3,0.5,6,4,0.6666666666666666,0.41666666666666663,18.22895289898305,0.16666666666666669,24
